VideoID,AverageSentiment
rd2jKGQJucE,0.024
_GW79tPHmVA,0.025
NYE1GhhiF7E,0.024193548387096774
j1nwW8eyD0Q,0.057
2S1XmMzFUe0,0.014228395061728393
WAYBZTQoVkI,0.03953703703703704
veSNESx8XBk,-0.003174603174603174
jA8nVFz94eY,0.021917808219178082
A41Xtv_tatE,0.013599537037037037
kufA4JGm_sU,0.05847953216374269
0pR_tZAVnUE,0.00588235294117647
1_kJsHwf64c,0.025848765432098766
2Rq34fbl1J4,0.008547008547008546
Ksw0yqOK00I,0.013888888888888888
v3smSegJR50,0.032828282828282825
MyH8ItOpkjA,0.010256410256410256
-RHTuM3hNII,-0.0661764705882353
UVMtTO5H1bk,0.019230769230769232
ejyLvEIpv-Q,0.008448540706605223
yI1vvwPKB1c,0.006097560975609756
h8JY9daqCBY,0.04808333333333334
kqzOGLstWh8,0.04533333333333333
SucuT1pw8Jc,0.050438596491228074
QBrcu1kBd7k,0.02368421052631579
lr9ToJnwPEk,0.04310344827586207
E2g4UffqKw0,0.06564625850340136
